id,title,description,temperature,brew_time,image,created_at,updated_at
1,Ginger Tea,"Yogi Ginger tea is purposefully blended with Ginger, a time-honored herb with a long history of use for supporting digestion. Herbalists throughout the world have known of the rejuvenating, soothing, and invigorating qualities of Ginger, and Ayurvedic practitioners have used it as a way of activating the body’s internal energy to promote balance and harmony. Yogi Ginger tea builds on this tradition by adding a uniquely delicious blend of Lemongrass, Licorice, Peppermint, and Black Pepper for a warming and spicy tea enjoyable any time of day.",boiling water,7 minutes,https://yogiproducts.com/wp-content/uploads/2009/03/YT-US-Ginger-CAR-C23-202296-3DFront-WithGlow-300DPI-PNG.png,2/2/2023 16:34:05,2/2/2023 16:34:05
2,Kava Stress Relief Tea,"Yogi Kava Stress Relief® tea is purposefully blended with Kava, a root traditionally used for its power to calm the body and mind and encourage a good night’s sleep. Cinnamon and Sarsaparilla add warmth and spice to this relaxing blend, while Carob Pod imparts rich flavor. Relax and find tranquility with a warm, soothing cup of Yogi Kava Stress Relief® tea.",boiling water,7 minutes,https://yogiproducts.com/wp-content/uploads/2009/03/YT-US-KavaStressRelief-CAR-C24-202449-3DFront_withGlow-300DPI-PNG.png,2023-02-02 16:40:59,2023-02-02 16:40:59
3,Egyptian Licorice Tea,"The great pharaohs of Egypt treasured Licorice Root for its natural sweetness, rich flavor, and soothing properties. Yogi Egyptian Licorice® tea combines this delicious herb with an intriguing blend of complementary spices, including warming Cinnamon and zesty Orange Peel. Enjoy a delicious cup of Yogi Egyptian Licorice® tea for a tasty treat anytime, day or night.",boiling water,7 minutes,https://yogiproducts.com/wp-content/uploads/2009/03/YT-US-EgyptianLicorice-CAR-C24-202513-3DFront-WithGlow-300DPI-PNG.png,2023-02-02 16:46:44,2023-02-02 16:46:44
4,Chai Rooibos Tea,"Evoke the beauty of South Africa with our delicious, all-organic Yogi Chai Rooibos tea—a creative twist on a traditional Chai tea blend. Rooibos, a red tea rich with antioxidants and enjoyed for centuries by the people of the Western Cape of South Africa, combines with a traditional Ayurvedic blend of Cardamom, Cinnamon, and Clove. Enjoy the spicy warmth of Yogi Chai Rooibos tea any time of day or night for an enchanting and intriguingly delicious cup of tea.",boiling water,7 minutes,https://yogiproducts.com/wp-content/uploads/2009/03/YT-US-ChaiRooibos-CAR-C24-202483-3DFront-WithGlow-300DPI-PNG.png,2023-02-02 16:52:29,2023-02-02 16:52:29
5,Orange Clove Tea,"Support your overall health with Yogi Orange Clove tea, a limited-edition blend sold during the holidays. Bright Orange Peel and aromatic Clove combine with Astragalus, a herb traditionally used for its ability to help support immune function. Traditional Ayurvedic warming spices including Cinnamon, Cardamom, Ginger, and Black Pepper add delicious spiced notes. The result is a perfectly spiced and citrusy herbal tea blend that is sure to make your holidays merry and bright.",boiling water,7 minutes,https://yogiproducts.com/wp-content/uploads/2019/10/YT-US-OrangeClove-CAR-C23-202446-3DFront-WithGlow-300DPI-PNG.png,2023-02-02 16:57:05,2023-02-02 16:57:05
